Timecode List:,00:00:07.925,00:00:14.932,00:00:16.308,00:00:17.601,00:00:18.602,00:00:22.314,00:00:24.149,00:00:26.610,00:00:27.903,00:00:29.696,00:00:30.572,00:00:31.198,00:00:32.199,00:00:33.367,00:00:35.160,00:00:36.161,00:00:37.746,00:00:39.706,00:00:40.707,00:00:42.584,00:00:43.710,00:00:45.587,00:00:46.672,00:00:49.299,00:00:52.094,00:00:53.679,00:00:54.471,00:00:56.431,00:00:57.766,00:00:59.017,00:01:00.060,00:01:01.770,00:01:04.773,00:01:06.024,00:01:09.278,00:01:10.779,00:01:11.363,00:01:13.198,00:01:16.118,00:01:17.244,00:01:18.495,00:01:19.830,00:01:21.915,00:01:24.042,00:01:24.793,00:01:26.503,00:01:27.462,00:01:28.672,00:01:29.589,00:01:30.507,00:01:31.425,00:01:32.259,00:01:33.093,00:01:35.929,00:01:36.972,00:01:37.931,00:01:38.724,00:01:39.558,00:01:42.185,00:01:42.978,00:01:44.521,00:01:45.105,00:01:46.148,00:01:48.400,00:01:49.735,00:01:55.574,00:01:57.617,00:02:06.877,00:02:08.712
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,190,00:00:07.925,7.925,190,00:00:07.925,7.925
2,191,00:00:07.925,7.925,358,00:00:14.932,14.932,168,00:00:07.007,7.007
3,359,00:00:14.932,14.932,391,00:00:16.308,16.308,33,00:00:01.376,1.376
4,392,00:00:16.308,16.308,422,00:00:17.601,17.601,31,00:00:01.293,1.293
5,423,00:00:17.601,17.601,446,00:00:18.602,18.602,24,00:00:01.001,1.001
6,447,00:00:18.602,18.602,535,00:00:22.314,22.314,89,00:00:03.712,3.712
7,536,00:00:22.314,22.314,579,00:00:24.149,24.149,44,00:00:01.835,1.835
8,580,00:00:24.149,24.149,638,00:00:26.610,26.610,59,00:00:02.461,2.461
9,639,00:00:26.610,26.610,669,00:00:27.903,27.903,31,00:00:01.293,1.293
10,670,00:00:27.903,27.903,712,00:00:29.696,29.696,43,00:00:01.793,1.793
11,713,00:00:29.696,29.696,733,00:00:30.572,30.572,21,00:00:00.876,0.876
12,734,00:00:30.572,30.572,748,00:00:31.198,31.198,15,00:00:00.626,0.626
13,749,00:00:31.198,31.198,772,00:00:32.199,32.199,24,00:00:01.001,1.001
14,773,00:00:32.199,32.199,800,00:00:33.367,33.367,28,00:00:01.168,1.168
